"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","33","0","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","25","25","1","1.277522","0","25"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","3","3","1","1.730752","0","3"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","88","88","1","537.581787","0","88"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","7","7","1","1.800526","0","7"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","33","33","1","12.302049","0","33"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","333","356","1","34.486870","0","356"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","3","3","1","0.868200","0","3"
"/Fab/Materials/Standard/M_MS_Base.M_MS_Base","0","11","12","1","8.634703","11","36"
"/Game/A_Surface_Footstep/Niagara_FX/Materials/M_DirectionalDust.M_DirectionalDust","0","24","24","1","18.555771","0","24"
"/Game/Mesh/Trap/Trap3/MI_Blades.MI_Blades","0","3","3","1","2.532577","0","3"
"/Game/Mesh/Trap/Trap3/M_Rotation_Pillar.M_Rotation_Pillar","0","3","3","1","0.000000","0","3"
"/Game/Mesh/Trap/Trap5/M_DocksPillar.M_DocksPillar","0","3","3","1","1.744125","0","3"
"/Game/Mesh/Trap/Trap5/M_WaterMill.M_WaterMill","0","3","3","1","0.000000","0","3"
"/Game/Mesh/Trap/Trap1/MI_Pillar.MI_Pillar","0","3","3","1","0.000000","0","3"
"/Game/Mesh/Trap/Trap1/MI_Brick.MI_Brick","0","3","3","1","0.000000","0","3"
"/Game/Mesh/Trap/Trap2/MI_Wood_Spike_Fix.MI_Wood_Spike_Fix","0","3","3","1","0.000000","0","3"
"/Game/Mesh/Trap/Trap2/MI_Spike_Support.MI_Spike_Support","0","3","3","1","0.000000","0","3"
"/Game/Fab/Quixel/Mat1D_2.Mat1D_2","0","3","3","1","2.365618","0","3"
"/Game/Fab/Quixel/Mat1D_4.Mat1D_4","0","3","3","1","0.000000","0","3"
"/Game/Mesh/Item/Item_SaveSign/MI_Palisade_Spike_tjribasfa_2K.MI_Palisade_Spike_tjribasfa_2K","0","12","14","1","9.407255","0","14"
"/Game/Material/ALTF4_KnightArmor_M.ALTF4_KnightArmor_M","0","28","32","1","24.973560","0","32"
"/Game/Material/M_AdamKnigh_Body.M_AdamKnigh_Body","0","28","32","1","25.279797","0","32"
"/Game/Material/M_OFF_KnightHelmetFeather.M_OFF_KnightHelmetFeather","0","6","6","1","5.264851","0","6"
"","0","1","0","1","0.000000","0","0"
"/Game/Mesh/Item/Item_SaveSign/M_Target_Balloon.M_Target_Balloon","0","3","3","1","0.000000","0","3"
"/Game/Mesh/Item/Item_SaveSign/MI_Old_Wooden_Beam_wggnfcp_2K.MI_Old_Wooden_Beam_wggnfcp_2K","0","12","14","1","0.000000","0","14"
"/Game/Mesh/Item/Item_SaveSign/MI_Old_Wooden_Beam_wggnei1_2K.MI_Old_Wooden_Beam_wggnei1_2K","0","12","14","1","0.000000","0","14"
"/Game/Material/M_Adam_Eyes.M_Adam_Eyes","0","6","6","1","4.328012","0","6"
"/Game/Mesh/Item/Item_SaveSign/MI_Flaked_Wood_Planks_tg2ldb2bw_2K.MI_Flaked_Wood_Planks_tg2ldb2bw_2K","0","12","14","1","7.632499","0","14"
"/Game/Material/M_ChickenB.M_ChickenB","0","6","6","1","4.679281","0","6"
"/Game/Mesh/Item/Item_SaveSign/MI_Rusty_Stake_tkpmbcnjw_2K.MI_Rusty_Stake_tkpmbcnjw_2K","0","12","14","1","0.000000","0","14"
"/Game/Material/M_ChickenA.M_ChickenA","0","6","6","1","0.000000","0","6"
"/Game/Mesh/Trap/Trap4/M_ArrowTrap.M_ArrowTrap","0","3","3","1","0.000000","0","3"
